likes_list,Comments_list,Caption_list,hashtags_list,date_list,url_list
477,2,"I scream, you scream, we all scream for T-Pain!

Thank you to everyone who came out on Saturday!💙⚓️⬆️

📸: @promotionsoffice",[],2023-04-04 19:11:00,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/339347271_1409603593123512_7105702982552979917_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=nCRWoMBwuiwAX-a-2HI&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3MzcxNTQ3NTkyNjY4NTY1NQ%3D%3D.2-ccb7-5&oh=00_AfDABin-CufVjX5kb5rV-O05gXZGzvleq5ryyV4sNcOm1g&oe=64334D90&_nc_sid=8fd12b
735,1,"That’s a wrap on #GVSUSpringConcert2023‼️💙🎤🎶

Thank you @tpain and @nandostl! 

📸: Josh Maynard & Mason Whitaker (@promotionsoffice)",['gvsuspringconcert2023'],2023-04-03 14:57:25,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/339153276_1639190926533882_4148183643927136495_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=stX5Fv7OX7gAX_YKh5Z&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3Mjg2MzA2ODgzMjc1ODI0MA%3D%3D.2-ccb7-5&oh=00_AfBlZfjMKcS5k5wZ7GC0KAKqmI_3fRjM-lHXK5AQqM92tg&oe=64321E15&_nc_sid=8fd12b
366,8,Check out the information to ensure you are ready for the #GVSUSpringConcert2023! We are excited to see everyone tomorrow!⚓️⬆️,['gvsuspringconcert2023'],2023-03-31 16:22:55,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/338443571_928114101559371_8938418942042633732_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_ohc=EHDWlIMnWt0AX9uBsY_&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3MDczMTc3MTAyMDQzODM3Mw%3D%3D.2-ccb7-5&oh=00_AfD_J2h2ZbeU17YY9m--1KR1ZUiM9LWmddI8dihIgdFmYA&oe=64336D6B&_nc_sid=8fd12b
467,8,"We are officially SOLD OUT of #GVSUSpringConcert2023 tickets! We are excited to see all 5,000 of you this Saturday for @tpain & @nandostl!🔥

For all attendee information, please go to gvsu.edu/springconcert. DM or email us at cab@gvsu.edu with any questions.",['gvsuspringconcert2023'],2023-03-29 21:42:14,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/338312708_204782515520145_3326340454610393065_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Se8F7HXSwBMAX9EZapu&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA2OTQ0Mjk0NDE0NjM5NTk2MA%3D%3D.2-ccb7-5&oh=00_AfD4WP3wVzpsnhEn-ZgymybtyBh54qpHgcYEaSZevFVa0w&oe=6432DD37&_nc_sid=8fd12b
686,12,"Here is your “official” excuse letter for the @tpain concert! 

We are so excited to see everyone on Saturday! Tickets are almost sold out, so purchase your ticket today at gvsu.edu/springconcert. #GVSUSpringConcert2023",['gvsuspringconcert2023'],2023-03-27 14:16:44,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/337648752_1372290483333522_4196340296966939989_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=2xG93_FMKcoAX-Wyb81&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA2Nzc2OTE2NjEyMzU2MTQ4Mw%3D%3D.2-ccb7-5&oh=00_AfBWcwD3aGdhgzkRmzXuKzbA_TZ7eAA3wzByZQcag8P8ZQ&oe=64323508&_nc_sid=8fd12b
317,0,"HAPPY T-WEEK! This week, we have “T” themed events in honor of @tpain coming to campus!👕🕯️🧘🍹

T-Shirt Swap
🗓️: Wednesday, March 22
⏰: 11:30 a.m. — 1:30 p.m.
📍: Kirkhof Center Lounge 
📝: Bring an old GVSU shirt and swap it out for a new, donated, or retro GVSU shirt. Please note, shirts will be swapped throughout the event so wash your shirt before wearing. This is a FREE event but you must bring a GVSU shirt to take a new GVSU shirt. 

Tea Light Yoga & Lip Scrub Making
🗓️: Thursday, March 23 
⏰: Yoga: 6:30 — 7:30 p.m.
⏰: Lip Scrub Making: 7:30 — 8 p.m.
📍: Allendale Library Multipurpose Room 
📝: All participants must sign up through MINDBODY. Go to the link in our bio to signup today!

Tiki Bar Mocktails & Trivia
🗓️: Friday, March 24
⏰: 11:30 a.m. — 1:30 p.m.
📍: Kirkhof Center Lobby
📝: Join AOD and spin the trivia wheel to win a tiki bar mocktail!

All events are first come, first serve. RSVPing on LakerLink does not reserve you a spot — it serves as an event reminder.

Buy a 2023 spring concert ticket at gvsu.edu/cab/springconcert!

DM or email us at cab@gvsu.edu with any questions!",[],2023-03-20 22:51:52,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/336487030_592218132926797_385787619920356952_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=pXt0FOrWnqIAX9irTMr&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA2Mjk1NTAwOTQ5MDc0Mzg1Ng%3D%3D.2-ccb7-5&oh=00_AfDMqpVJ_FcKjbVUHRhB5K3kOyLLkfJIvrRkE1qrKHPgQw&oe=64329B28&_nc_sid=8fd12b
419,3,"GV’s Got Talent was amazing! 👏👏👏Thank you to all the acts who preformed & Congratulations to @ignitedance_co 😄 See you all at the Spring Concert!🤩#GVSUSpringConcert2023 #GVSUCAB 

⚓️As a Reminder purchase your 2023 Spring Concert tickets, with opener @nandostl and headlining the night, @tpain , you won’t want to miss it!!!!!

DM or email us at cab@gvsu.edu with any questions!

📸: @promotionsoffice","['gvsuspringconcert2023', 'gvsucab']",2023-03-17 17:34:53,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/335991779_940883883760002_6655209161123093593_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=wOFtjTVMZK8AX8ZR7Dx&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA2MDYyMTEzMzIxMTc5ODgzNg%3D%3D.2-ccb7-5&oh=00_AfB5uTxoEavTke6Ge4AELsg75vqfFSnKYyRrnLiMujDNGg&oe=64325C74&_nc_sid=8fd12b
280,3,"Introducing your 2023 Spring Concert opener, @nandostl! #GVSUSpringConcert2023

GVSU students, staff, faculty, and alumni tickets are live NOW. Go to gvsu.edu/cab/springconcert or to the link in our bio. As a reminder, tickets go live to the public on Monday, March 20. Purchase your ticket now before they sell out. #GVSUCAB","['gvsuspringconcert2023', 'gvsucab']",2023-03-16 16:04:50,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/335927295_1214782419130369_3188117018994874650_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=XPV3rRszsfkAX-P56c9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTg1MTAzODU0Njc3MDEzMQ%3D%3D.2-ccb7-5&oh=00_AfCBLjs_W0T77K7ZNQpnD2mSm-x8v40q4OMjm0jYWSHurA&oe=6432F2E8&_nc_sid=8fd12b
1397,39,"THE #GVSUSpringConcert2023 IS @TPAIN AND “I AIN’T GOT NO PROBLEM SPENDING MY MONEY” ON A TICKET! #GVSUCAB 
 
INFO:
🔷Tickets for GVSU students, faculty, staff, and alumni are live NOW
🔷Public sales will begin the week of March 20
 
TICKETS:
🔷Link to purchase tickets is in our bio or at gvsu.edu/cab/springconcert
🔷When purchasing a GVSU student, staff, faculty, or alumni ticket, you must use your GVSU email ending in “mail.gvsu.edu” or “gvsu.edu”
🔷There are a limited number of tickets. Once tickets are sold out, they are out — Purchase your ticket TODAY
🔷NO REFUNDS
 
TICKET PRICES:
🔷Students = $15
🔷Faculty, Staff, and Alumni = $25
🔷Public = $35
 
DAY OF SHOW TIMING:
🔷Doors open = 6:30 p.m.
🔷Opening DJ = 6:30 p.m.
🔷Opener = 8 p.m.
🔷Headliner = 8:30 p.m.
🔷Doors close = 8:30 p.m. (no exceptions)
🔷NO RE-ENTRY
 
Please review the Spring Concert 2023 rules and regulations before attending the concert. All information can be found at the link in our bio or at gvsu.edu/cab/springconcert.
 
Please DM or email us at cab@gvsu.edu with any questions!
 
CLUES:
🔷Hint #1: You can always find T-Pain in sunglasses
🔷Hint #2: The “T” in T-Pain stands for Tallahassee 
🔷Hint #3: The lyric “put on a fresh white suit and the mini coupe sittin’ on dubs” from the hit song Bartender

Congrats to our 5 winners of the free concert ticket. Please DM us to claim your prize.
🔷@kenadikoppe
🔷@emma.simonsen 
🔷@maddiestrayer
🔷@lauren.lucee
🔷@gage_monroe_42","['gvsuspringconcert2023', 'gvsucab', '1', '2', '3']",2023-03-16 00:39:13,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/335953209_735186391425976_3381813519250880596_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=u6f1345COvwAX8XBwQE&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTM4NTE2NDQ5MjczNzU2Ng%3D%3D.2-ccb7-5&oh=00_AfCfgmO8uJcqVCpVKt2MW5KykdiYVZS9HOe2Z-rO7IJNww&oe=64332DAB&_nc_sid=8fd12b
292,46,"AND THE 2023 SPRING CONCERT ARTIST IS. . .

Just kidding! I guess you will need to come to GV’s Got Talent tonight at 7 p.m. in the Grand River Room for the LIVE REVEAL OF THE SPRING CONCERT ARTIST. All GV’s Got Talent attendees will have first access to purchase a #GVSUSpringConcert2023 ticket. 

Who is your final guess?👀",['gvsuspringconcert2023'],2023-03-15 14:56:40,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/335768897_620627603220789_993449163185219234_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=5yYhfIqEyrAAX9Xb6FA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTA5MTk1NzcwNDAyMDgwOA%3D%3D.2-ccb7-5&oh=00_AfBd3VNmrpWH3SllGbXzd_DW709mSO2hzxp6M8-vpRHzQA&oe=6432C38F&_nc_sid=8fd12b
